Round,HAP 0,HAP 1,HAP 2,HAP 3,HAP 4
0,0.6900333166122437,0.5563833117485046,0.5041499733924866,0.9081500172615051,0.7710833549499512
1,0.5672833323478699,0.8217999935150146,0.6872666478157043,0.8271166682243347,0.7643333077430725
2,0.6031833291053772,0.8112499713897705,0.6589833498001099,0.9398666620254517,0.7484666705131531
3,0.692716658115387,0.8954333066940308,0.7334166765213013,0.9211500287055969,0.8423833250999451
4,0.8419666886329651,0.9326000213623047,0.9000999927520752,0.9606999754905701,0.7735166549682617
5,0.8709666728973389,0.9342166781425476,0.9087333083152771,0.9677333235740662,0.826449990272522
6,0.8460000157356262,0.9118499755859375,0.8605499863624573,0.9456999897956848,0.8582333326339722
7,0.8245499730110168,0.9029499888420105,0.883983314037323,0.9690499901771545,0.9417499899864197
8,0.9613166451454163,0.8003833293914795,0.9024500250816345,0.9861000180244446,0.9395166635513306
9,0.9401666522026062,0.9486833214759827,0.9744833111763,0.9295666813850403,0.9137666821479797
10,0.9426833391189575,0.9735166430473328,0.9172000288963318,0.9837333559989929,0.9699166417121887
11,0.9883166551589966,0.9857833385467529,0.9588833451271057,0.975433349609375,0.8863333463668823
12,0.9661999940872192,0.9849333167076111,0.855983316898346,0.9890000224113464,0.976016640663147
13,0.8673166632652283,0.9928500056266785,0.9634333252906799,0.9830833077430725,0.9868500232696533
14,0.9682000279426575,0.9520333409309387,0.9909666776657104,0.9816333055496216,0.8957499861717224
15,0.9860333204269409,0.9495999813079834,0.9958833456039429,0.9591666460037231,0.9494500160217285
16,0.9682833552360535,0.9006666541099548,0.9824333190917969,0.8964333534240723,0.9925333261489868
17,0.9930999875068665,0.9859499931335449,0.9614499807357788,0.9094499945640564,0.9948166608810425
18,0.9055666923522949,0.9693666696548462,0.9231666922569275,0.9939500093460083,0.9923166632652283
19,0.9682999849319458,0.9545166492462158,0.95496666431427,0.9944499731063843,0.8271333575248718
20,0.941100001335144,0.7188833355903625,0.8998500108718872,0.9758833050727844,0.9510499835014343
21,0.9892666935920715,0.9389166831970215,0.9835500121116638,0.9817166924476624,0.9496666789054871
22,0.998033344745636,0.9916999936103821,0.9961833357810974,0.9951833486557007,0.9495166540145874
23,0.982200026512146,0.8549166917800903,0.9993500113487244,0.9748833179473877,0.9890666604042053
24,0.9797166585922241,0.991433322429657,0.972683310508728,0.9921333193778992,0.9386666417121887
25,0.9859166741371155,0.9958833456039429,0.9869499802589417,0.9920833110809326,0.9841499924659729
26,0.9954166412353516,0.9914000034332275,0.9741500020027161,0.9835666418075562,0.9896166920661926
27,0.982866644859314,0.9592000246047974,0.9972333312034607,0.9924833178520203,0.9960500001907349
28,0.9985833168029785,0.9905166625976562,0.9676333069801331,0.9340333342552185,0.7889666557312012
29,0.996566653251648,0.9973000288009644,0.9849333167076111,0.9788833260536194,0.9578333497047424
