Round,HAP 0,HAP 1,HAP 2,HAP 3,HAP 4
0,0.6830833554267883,0.6383666396141052,0.4858333468437195,0.847266674041748,0.8454166650772095
1,0.5575500130653381,0.6724500060081482,0.6879333257675171,0.8730833530426025,0.8014666438102722
2,0.5913500189781189,0.8008833527565002,0.6585333347320557,0.9244666695594788,0.7885666489601135
3,0.7241666913032532,0.9210833311080933,0.725433349609375,0.9469000101089478,0.8667333126068115
4,0.8530499935150146,0.9389833211898804,0.7853000164031982,0.9346166849136353,0.7773500084877014
5,0.8746833205223083,0.9455000162124634,0.934583306312561,0.9726499915122986,0.8188166618347168
6,0.8338500261306763,0.9387333393096924,0.8531333208084106,0.9716166853904724,0.8832833170890808
7,0.9161999821662903,0.8824833035469055,0.9426833391189575,0.9730166792869568,0.9566666483879089
8,0.987766683101654,0.7739999890327454,0.9603166580200195,0.9910333156585693,0.9670166373252869
9,0.9796666502952576,0.9548666477203369,0.9717333316802979,0.9723833203315735,0.9753666520118713
10,0.977483332157135,0.967033326625824,0.9178333282470703,0.9888499975204468,0.9517166614532471
11,0.9819666743278503,0.9920166730880737,0.9646000266075134,0.9861166477203369,0.9777166843414307
12,0.977649986743927,0.9847000241279602,0.9433833360671997,0.9908499717712402,0.9863333106040955
13,0.9475333094596863,0.9847000241279602,0.9653833508491516,0.9869166612625122,0.9865999817848206
14,0.9865999817848206,0.9868333339691162,0.9947666525840759,0.9910833239555359,0.9758166670799255
15,0.9964666962623596,0.9792500138282776,0.9975500106811523,0.9619666934013367,0.9870166778564453
16,0.9997166395187378,0.9876499772071838,0.9999666810035706,0.9831166863441467,0.9836666584014893
17,0.9999666810035706,0.972599983215332,0.9700833559036255,0.9283999800682068,0.992816686630249
18,0.9469333291053772,0.9965000152587891,0.9362000226974487,0.9926999807357788,0.9765166640281677
19,0.9678500294685364,0.9818833470344543,0.9757999777793884,0.9906499981880188,0.9034833312034607
20,0.9685666561126709,0.9832833409309387,0.9925333261489868,0.9909833073616028,0.9832666516304016
21,0.9820333123207092,0.9627500176429749,0.9971166849136353,0.995199978351593,0.9045166373252869
22,0.9965833425521851,0.9956166744232178,0.998199999332428,0.989716649055481,0.9670000076293945
23,0.9909166693687439,0.8960833549499512,0.9950000047683716,0.9873666763305664,0.9922999739646912
24,0.9997833371162415,0.9858999848365784,0.9944499731063843,0.9938166737556458,0.9911166429519653
25,0.9839000105857849,0.9951500296592712,0.9781000018119812,0.9975666403770447,0.9449333548545837
26,0.9971666932106018,0.9970499873161316,0.9702000021934509,0.979533314704895,0.9956333041191101
27,0.9886166453361511,0.9885166883468628,0.9977333545684814,0.9952999949455261,0.9963499903678894
28,0.9986500144004822,0.8745666742324829,0.9922333359718323,0.9851833581924438,0.9602166414260864
29,1.0,0.8440999984741211,1.0,0.9931333065032959,0.9695833325386047
