Round,HAP 0,HAP 1,HAP 2,HAP 3,HAP 4
0,36.79496383666992,35.61307907104492,39.51175308227539,32.40155792236328,32.35297775268555
1,21.727338790893555,23.448413848876953,23.174968719482422,20.969486236572266,21.588361740112305
2,8.075032234191895,5.129128456115723,6.894125461578369,4.2638678550720215,5.0262932777404785
3,14.117387771606445,12.445708274841309,14.789342880249023,12.28113079071045,12.633493423461914
4,3.8167953491210938,3.2931201457977295,4.559016704559326,3.314300060272217,4.83121919631958
5,8.882707595825195,8.311192512512207,8.402043342590332,8.154271125793457,9.463764190673828
6,3.9190948009490967,2.9506664276123047,3.878591775894165,2.685361862182617,3.5406599044799805
7,6.910679340362549,7.4706220626831055,6.875696659088135,6.607079982757568,6.687821865081787
8,4.808016777038574,7.1436896324157715,5.00655460357666,4.804098129272461,4.966213226318359
9,7.212991714477539,7.442477226257324,7.250424861907959,7.272984504699707,7.294116497039795
10,56.426998138427734,56.52655029296875,56.932029724121094,56.35575866699219,56.69664001464844
11,4.978092670440674,4.919013977050781,5.101391315460205,4.960119724273682,5.021914958953857
12,4.8255414962768555,4.763108730316162,5.22268009185791,4.738406658172607,4.767749309539795
13,3.8340678215026855,3.515288829803467,3.694408893585205,3.478222131729126,3.4730539321899414
14,5.466795921325684,5.476208209991455,5.413451671600342,5.4601664543151855,5.595340728759766
15,1.5395081043243408,1.6798938512802124,1.5355778932571411,1.9447871446609497,1.6621856689453125
16,6.690333843231201,6.785627841949463,6.689619064331055,6.81438684463501,6.805089950561523
17,9.04837417602539,9.262734413146973,9.32373332977295,9.798598289489746,9.091981887817383
18,10.374505996704102,9.815877914428711,10.75925350189209,9.84764575958252,9.962615966796875
19,3.9035096168518066,3.7857275009155273,3.741093158721924,3.63486385345459,5.447788238525391
20,5.362100124359131,5.162060260772705,5.090111255645752,5.0988240242004395,5.1942548751831055
21,1.9034925699234009,2.114586591720581,1.7286350727081299,1.7473703622817993,2.893472909927368
22,6.634488105773926,6.639129161834717,6.624138832092285,6.709012508392334,6.9518513679504395
23,6.380073547363281,9.18134880065918,6.353331089019775,6.408388614654541,6.379881858825684
24,19.47719383239746,19.609554290771484,19.513566970825195,19.52196502685547,19.556838989257812
25,7.183047771453857,7.073529243469238,7.290580749511719,7.055766582489014,7.779164791107178
26,9.827397346496582,9.825213432312012,10.17672061920166,10.022073745727539,9.830012321472168
27,5.421408176422119,5.414936065673828,5.326853275299072,5.358471393585205,5.343638896942139
28,6.658680438995361,9.301484107971191,6.7420430183410645,6.795653343200684,7.594600677490234
29,3.00785493850708,10.707440376281738,3.0078554153442383,3.0664570331573486,3.357583522796631
