Round,HAP 0,HAP 1,HAP 2,HAP 3,HAP 4
0,16.04119110107422,15.519416809082031,18.550134658813477,12.475164413452148,13.212735176086426
1,10.104849815368652,9.914641380310059,10.764436721801758,8.840363502502441,9.08796501159668
2,4.033085346221924,2.7549357414245605,3.0852811336517334,2.2232186794281006,2.503542423248291
3,8.273021697998047,7.7687482833862305,8.560361862182617,7.737023830413818,7.770298004150391
4,2.8618860244750977,2.1254098415374756,2.444868564605713,2.2128400802612305,2.38582444190979
5,4.638622283935547,4.223868370056152,4.575043201446533,4.2527289390563965,4.544745445251465
6,2.006162405014038,2.064481496810913,1.5722920894622803,1.3811160326004028,1.6709967851638794
7,4.536832809448242,4.3949995040893555,4.291632175445557,4.151733875274658,4.312178611755371
8,3.2007944583892822,3.6270744800567627,3.2579216957092285,3.173672676086426,3.230412721633911
9,5.606987953186035,6.028435230255127,5.574531078338623,5.648865699768066,5.678408145904541
10,20.640438079833984,20.56387710571289,20.82726287841797,20.604148864746094,20.661970138549805
11,3.0559489727020264,2.9582865238189697,3.328460931777954,2.9773595333099365,3.0895605087280273
12,3.357248544692993,3.4266223907470703,4.2937445640563965,3.2973318099975586,3.343158006668091
13,2.518789529800415,2.2321465015411377,2.3698267936706543,2.215989589691162,2.3051719665527344
14,3.8668906688690186,3.9000284671783447,3.821758270263672,3.8464674949645996,4.084486484527588
15,2.2979061603546143,2.3849000930786133,2.280264139175415,2.355987071990967,2.3939802646636963
16,4.605362892150879,4.651547431945801,4.5920329093933105,4.68277645111084,4.624569416046143
17,6.460103511810303,6.5185699462890625,6.616029739379883,6.620290279388428,6.46515417098999
18,7.1191725730896,6.958001613616943,7.108669757843018,6.884875297546387,6.906818866729736
19,2.935950517654419,2.894113063812256,2.9535024166107178,2.9072914123535156,2.989060401916504
20,4.1848344802856445,4.405561923980713,4.217160224914551,4.201338768005371,4.142281532287598
21,1.720038652420044,1.809199571609497,1.736235499382019,1.7318098545074463,1.8067952394485474
22,5.136664867401123,5.135843276977539,5.138645172119141,5.162562847137451,5.4013166427612305
23,4.571597099304199,4.657325744628906,4.524882793426514,4.593518257141113,4.556077003479004
24,9.738556861877441,9.694762229919434,10.255410194396973,9.646397590637207,9.687313079833984
25,4.652599811553955,4.630383491516113,4.670602798461914,4.604989528656006,4.692227840423584
26,7.266801357269287,7.252650737762451,7.485559940338135,7.407065391540527,7.275147438049316
27,4.207334995269775,4.227807998657227,4.173595905303955,4.167997360229492,4.231262683868408
28,6.146333694458008,6.416670322418213,6.140585899353027,6.38683557510376,6.2926249504089355
29,2.4226536750793457,2.519998073577881,2.416351795196533,2.430122137069702,2.6801674365997314
