Round,HAP 0,HAP 1,HAP 2,HAP 3,HAP 4
0,0.4408666789531708,0.8335000276565552,0.711566686630249,0.8472499847412109,0.903083324432373
1,0.7005833387374878,0.7904166579246521,0.6380833387374878,0.9184666872024536,0.9093499779701233
2,0.6888333559036255,0.8473166823387146,0.7278333306312561,0.9680666923522949,0.885616660118103
3,0.8881666660308838,0.89041668176651,0.6527166962623596,0.975766658782959,0.8267666697502136
4,0.8628833293914795,0.9692166447639465,0.916616678237915,0.9758999943733215,0.9589666724205017
5,0.8304499983787537,0.9781333208084106,0.9517499804496765,0.989799976348877,0.9784166812896729
6,0.9425666928291321,0.9413833618164062,0.852233350276947,0.9516000151634216,0.9538833498954773
7,0.947950005531311,0.9197499752044678,0.9585666656494141,0.9811166524887085,0.9892333149909973
8,0.9827666878700256,0.9607666730880737,0.9687666893005371,0.9865166544914246,0.9814000129699707
9,0.9805999994277954,0.7910166382789612,0.9328833222389221,0.9838500022888184,0.9671333432197571
10,0.9630166888237,0.9554499983787537,0.9376500248908997,0.9872833490371704,0.977733314037323
11,0.954200029373169,0.9942499995231628,0.9731333255767822,0.9898999929428101,0.965666651725769
12,0.9767833352088928,0.9850833415985107,0.9962499737739563,0.991349995136261,0.9959499835968018
13,0.9671333432197571,0.9932000041007996,0.9559666514396667,0.9898499846458435,0.9885833263397217
14,0.9903333187103271,0.9829166531562805,0.9760333299636841,0.9821666479110718,0.8767333626747131
15,0.9952166676521301,0.9387333393096924,0.9990833401679993,0.9868000149726868,0.9856166839599609
16,0.9999666810035706,0.9974666833877563,0.9962833523750305,0.9768000245094299,0.9935333132743835
17,1.0,0.9869999885559082,0.9798333048820496,0.9877166748046875,0.9968000054359436
18,0.9938666820526123,0.9902833104133606,0.9882500171661377,0.9973000288009644,0.9996333122253418
19,0.9638833403587341,0.9941333532333374,0.9958666563034058,0.9975833296775818,0.9999833106994629
20,0.9841499924659729,0.9948333501815796,0.918150007724762,0.9910500049591064,0.9922666549682617
21,0.9789333343505859,0.9726999998092651,0.9673666954040527,0.9738500118255615,0.9884833097457886
22,0.9922333359718323,0.9487166404724121,0.9917500019073486,0.9977166652679443,0.9598000049591064
23,0.9865166544914246,0.9179666638374329,0.975433349609375,0.9984666705131531,0.9893333315849304
24,0.9738333225250244,0.9599999785423279,0.9767333269119263,0.9962166547775269,0.9844499826431274
25,0.9909166693687439,0.9900000095367432,0.9922666549682617,0.9986833333969116,0.9962833523750305
26,0.9908000230789185,0.9950166940689087,0.9937833547592163,0.9967666864395142,0.9866666793823242
27,0.9875666499137878,0.991100013256073,0.980733335018158,0.989883303642273,0.9944999814033508
28,0.8366833329200745,0.9988166689872742,0.9977499842643738,0.9864833354949951,0.9948999881744385
29,0.9925333261489868,0.9949833154678345,0.9999833106994629,0.9536833167076111,0.9490166902542114
