Round,HAP 0,HAP 1,HAP 2,HAP 3,HAP 4
0,37.789772033691406,33.589908599853516,35.28474426269531,34.435611724853516,33.49540328979492
1,30.80087661743164,28.87066078186035,29.794445037841797,28.005571365356445,28.127897262573242
2,22.140764236450195,20.162878036499023,21.007047653198242,19.397035598754883,19.880666732788086
3,6.089527606964111,6.385376453399658,8.71574592590332,5.687800884246826,6.491870880126953
4,9.20483684539795,8.487704277038574,8.68951416015625,8.462261199951172,8.513162612915039
5,6.9173583984375,5.926722526550293,6.032450199127197,5.861676216125488,5.917307376861572
6,7.727332592010498,7.757082462310791,8.51179027557373,7.759613037109375,7.707982063293457
7,6.1412153244018555,6.4714837074279785,6.1215033531188965,5.966733455657959,5.902116298675537
8,3.1494452953338623,3.2900731563568115,3.2229130268096924,3.1501646041870117,3.17765736579895
9,6.587584495544434,9.58077335357666,6.953920364379883,6.61269474029541,6.75417947769165
10,12.547881126403809,12.817268371582031,12.959474563598633,12.408317565917969,12.457193374633789
11,8.119338989257812,7.798255920410156,7.950631618499756,7.827274322509766,8.003716468811035
12,8.529274940490723,8.472762107849121,8.384267807006836,8.419321060180664,8.384223937988281
13,5.92072868347168,5.727747917175293,6.2029619216918945,5.751979827880859,5.764407634735107
14,13.994890213012695,14.062856674194336,14.146774291992188,14.090279579162598,17.032079696655273
15,10.118788719177246,10.875052452087402,10.098332405090332,10.199647903442383,10.204051971435547
16,9.306553840637207,9.320713996887207,9.326517105102539,9.489148139953613,9.346778869628906
17,5.24802303314209,5.358902931213379,5.427827835083008,5.337030410766602,5.2659687995910645
18,7.593025207519531,7.624329090118408,7.639769077301025,7.575051784515381,7.558621406555176
19,12.970015525817871,12.672548294067383,12.653451919555664,12.639993667602539,12.62908935546875
20,5.034430027008057,4.95297908782959,6.396059036254883,4.9896368980407715,4.976343154907227
21,10.203365325927734,10.157435417175293,10.383610725402832,10.231249809265137,9.99057388305664
22,7.23714542388916,8.019072532653809,7.2461652755737305,7.204196929931641,7.720628261566162
23,3.420579671859741,5.3731207847595215,3.5888381004333496,3.33626651763916,3.409179210662842
24,11.67656421661377,11.980268478393555,11.6471529006958,11.39660930633545,11.593788146972656
25,6.823575496673584,6.855299949645996,6.83098030090332,6.768509387969971,6.78567361831665
26,15.228418350219727,15.190546035766602,15.192930221557617,15.17642879486084,15.307401657104492
27,5.070165634155273,5.062999248504639,5.200479030609131,5.077940940856934,5.004339218139648
28,15.741891860961914,5.381683826446533,5.388947486877441,5.520473003387451,5.420132160186768
29,11.492037773132324,11.476797103881836,11.433853149414062,12.097393035888672,12.566390037536621
