Round,HAP 0,HAP 1,HAP 2,HAP 3,HAP 4
0,0.6271499991416931,0.48713332414627075,0.47315001487731934,0.8312833309173584,0.6991333365440369
1,0.4710499942302704,0.6865166425704956,0.6998166441917419,0.7948833107948303,0.6735333204269409
2,0.6466666460037231,0.8313166499137878,0.7389333248138428,0.8612333536148071,0.7975833415985107
3,0.7354833483695984,0.9206666946411133,0.7825666666030884,0.9150999784469604,0.8866000175476074
4,0.7967000007629395,0.9155333042144775,0.9144999980926514,0.9300500154495239,0.8337833285331726
5,0.8825166821479797,0.9349166750907898,0.8426833152770996,0.9515500068664551,0.9170166850090027
6,0.8404833078384399,0.8911499977111816,0.906583309173584,0.9489833116531372,0.9095500111579895
7,0.810283362865448,0.9173333048820496,0.9533500075340271,0.9745333194732666,0.9677500128746033
8,0.9210833311080933,0.9029666781425476,0.9442499876022339,0.9764666557312012,0.9657833576202393
9,0.8106333613395691,0.9008833169937134,0.9434666633605957,0.9536166787147522,0.9742500185966492
10,0.8478333353996277,0.9849166870117188,0.8956166505813599,0.9641666412353516,0.9541500210762024
11,0.9675833582878113,0.9878333210945129,0.9554833173751831,0.9663000106811523,0.9627500176429749
12,0.9752333164215088,0.9782500267028809,0.9662833213806152,0.9844833612442017,0.9798666834831238
13,0.9119833111763,0.9861833453178406,0.9618833065032959,0.975516676902771,0.9821666479110718
14,0.9562166929244995,0.954883337020874,0.9815999865531921,0.9792333245277405,0.9442333579063416
15,0.9373499751091003,0.973716676235199,0.9896833300590515,0.9678166508674622,0.9634666442871094
16,0.8940833210945129,0.9791333079338074,0.9701333045959473,0.9746833443641663,0.9728833436965942
17,0.9604166746139526,0.9747833609580994,0.954800009727478,0.9548500180244446,0.9929333329200745
18,0.9479166865348816,0.972350001335144,0.9526833295822144,0.9883666634559631,0.9926499724388123
19,0.9275833368301392,0.9785333275794983,0.958549976348877,0.9863333106040955,0.9527333378791809
20,0.9151833057403564,0.9415666460990906,0.9053500294685364,0.9647833108901978,0.9751999974250793
21,0.9471666812896729,0.9470666646957397,0.9879500269889832,0.9857000112533569,0.9590666890144348
22,0.9557999968528748,0.9958000183105469,0.9793000221252441,0.9832500219345093,0.9431833624839783
23,0.8580999970436096,0.9584833383560181,0.9756500124931335,0.9711166620254517,0.9943666458129883
24,0.9463000297546387,0.9837166666984558,0.9726666808128357,0.9878166913986206,0.8956166505813599
25,0.9789000153541565,0.9905666708946228,0.9826333522796631,0.9913833141326904,0.9633333086967468
26,0.9883666634559631,0.9965166449546814,0.9730333089828491,0.9577666521072388,0.9801333546638489
27,0.9695166945457458,0.9587166905403137,0.9892833232879639,0.9911333322525024,0.9833499789237976
28,0.973466694355011,0.98048335313797,0.9891833066940308,0.9626333117485046,0.9830666780471802
29,0.9522166848182678,0.9922166466712952,0.9822666645050049,0.9892500042915344,0.9705833196640015
