Round,HAP 0,HAP 1,HAP 2,HAP 3,HAP 4
0,0.5781000256538391,0.6790000200271606,0.3361000120639801,0.6765999794006348,0.5795999765396118
1,0.6586999893188477,0.8629999756813049,0.6068999767303467,0.8637999892234802,0.5060999989509583
2,0.742900013923645,0.8230000138282776,0.6395000219345093,0.8274999856948853,0.6425999999046326
3,0.5037000179290771,0.9438999891281128,0.6514000296592712,0.9419000148773193,0.51419997215271
4,0.758400022983551,0.9386000037193298,0.6969000101089478,0.9340999722480774,0.6384999752044678
5,0.914900004863739,0.9677000045776367,0.9395999908447266,0.9674999713897705,0.933899998664856
6,0.9650999903678894,0.9532999992370605,0.9408000111579895,0.9537000060081482,0.9448999762535095
7,0.9517999887466431,0.974399983882904,0.9668999910354614,0.9751999974250793,0.9648000001907349
8,0.9591000080108643,0.9686999917030334,0.9602000117301941,0.9696999788284302,0.9732999801635742
9,0.9575999975204468,0.9674999713897705,0.9605000019073486,0.9700000286102295,0.9700999855995178
