Round,HAP 0,HAP 1,HAP 2,HAP 3,HAP 4
0,19.8685245513916,19.652442932128906,21.137454986572266,19.551559448242188,20.72704315185547
1,16.894556045532227,16.202411651611328,17.19851303100586,16.140520095825195,17.290218353271484
2,7.330266952514648,7.258145332336426,7.603515625,7.18066930770874,7.589646816253662
3,5.422630786895752,2.284351110458374,3.5181338787078857,2.2869253158569336,4.577188491821289
4,10.428474426269531,8.516243934631348,10.535019874572754,8.537076950073242,10.613993644714355
5,6.572317123413086,6.244434356689453,6.412543773651123,6.251653671264648,6.421902179718018
6,3.4405057430267334,3.5408148765563965,3.574796199798584,3.531606674194336,3.566540241241455
7,1.631752610206604,1.4858851432800293,1.5155519247055054,1.479704737663269,1.5248891115188599
8,2.4898555278778076,2.4760327339172363,2.50905442237854,2.4626195430755615,2.390590190887451
9,6.632120132446289,6.558621883392334,6.6196818351745605,6.545717716217041,6.500876426696777
