Round,HAP 0,HAP 1,HAP 2,HAP 3,HAP 4
0,14.842001914978027,13.472068786621094,15.911880493164062,15.814229965209961,15.025782585144043
1,15.970297813415527,13.477190971374512,15.20274829864502,18.496265411376953,17.263486862182617
2,14.225565910339355,14.032793045043945,14.723993301391602,18.46280860900879,16.06568145751953
3,10.47972583770752,9.238961219787598,9.53982162475586,10.535797119140625,9.819707870483398
4,14.690714836120605,13.731073379516602,14.589856147766113,16.203807830810547,14.229595184326172
5,12.822253227233887,13.350545883178711,13.56583023071289,13.526497840881348,13.234247207641602
6,5.236639976501465,4.810735702514648,4.837790489196777,4.166565418243408,3.9412293434143066
7,7.912702560424805,8.519648551940918,8.07939624786377,9.002684593200684,7.810945510864258
8,5.879915237426758,6.168207168579102,6.620322227478027,7.376896381378174,5.911144733428955
9,1.2790088653564453,0.7208619713783264,0.8007906675338745,1.8496466875076294,1.0025161504745483
10,14.703473091125488,14.717427253723145,14.885677337646484,15.027442932128906,14.90548038482666
11,6.117225170135498,5.864090919494629,6.133444786071777,6.8774094581604,5.990769863128662
12,24.07001495361328,23.794435501098633,24.084552764892578,24.274185180664062,23.71376609802246
13,10.801517486572266,10.912614822387695,11.356898307800293,11.036853790283203,10.897052764892578
14,14.403371810913086,15.09411907196045,14.809381484985352,15.098747253417969,17.9606990814209
15,11.081182479858398,10.942645072937012,11.412696838378906,14.075376510620117,10.886963844299316
16,1.911536455154419,1.9549839496612549,2.047372341156006,2.3617665767669678,1.898146629333496
17,2.5648767948150635,2.567077398300171,2.48319149017334,2.9934489727020264,2.4703609943389893
18,12.693757057189941,12.982959747314453,12.900749206542969,13.583048820495605,12.686561584472656
19,16.120454788208008,16.59442138671875,16.44853973388672,16.489173889160156,16.06220245361328
20,11.38003921508789,11.529096603393555,11.302790641784668,12.077033042907715,11.213945388793945
21,9.509553909301758,10.25732707977295,9.800678253173828,10.34111213684082,9.676131248474121
22,17.99700164794922,18.18222999572754,18.2951717376709,19.87599754333496,18.50849151611328
23,21.303037643432617,21.55005645751953,21.56435775756836,22.82586669921875,22.195295333862305
24,5.306145191192627,5.189667224884033,5.903003215789795,5.2291364669799805,5.254042148590088
25,9.132024765014648,8.897185325622559,9.238417625427246,9.413164138793945,9.449949264526367
26,9.569645881652832,9.485299110412598,9.487754821777344,9.484554290771484,9.461538314819336
27,13.570572853088379,13.578145027160645,13.776955604553223,14.630614280700684,13.864117622375488
28,13.03747844696045,12.88570499420166,13.125594139099121,15.122597694396973,12.876431465148926
29,13.427214622497559,13.747596740722656,13.372121810913086,15.823617935180664,13.266524314880371
